접수번호,법인구분,고유번호,법인명,이름,성별,생년월일,직위,등기임원여부,상근여부,담당업무,주요경력,최대주주와의관계,재직기간,임기만료일,보고서연도
20210317000643,Y,00156859,다올투자증권,이병철,남,1969년 03월,"대표
이사",등기임원,상근,"총괄
부회장","고려대 경영학(중퇴)
다올인베스트먼트 사장",최대주주본인,2016.07.13~,2022년 03월 26일,2020
20210317000643,Y,00156859,다올투자증권,최석종,남,1961년 06월,"대표
이사",등기임원,상근,사장,"고려대 정치외교학
연세대경영대학원 MBA
교보증권 IB금융본부장",발행회사임원,2016.06.09~,2022년 03월 26일,2020
20210317000643,Y,00156859,다올투자증권,김형남,남,1956년 03월,"사내
이사",등기임원,상근,"감사
위원","연세대 행정대학원
하나자산신탁 상근감사
삼성선물(주) 상근감사",발행회사임원,2018.03.30~,2021년 03월 29일,2020
20210317000643,Y,00156859,다올투자증권,박동수,남,1946년 01월,"사외
이사",등기임원,비상근,사외이사,"서울대 법학, 서강대 대학원 경영학
다올부동산신탁 회장",해당사항없음,2018.03.30~,2021년 03월 29일,2020
20210317000643,Y,00156859,다올투자증권,"Benny
Chung",남,1973년 06월,"사외
이사",등기임원,비상근,사외이사,"University of Toronto
현)CEO, Oceanwide Capital",해당사항없음,2018.03.30~,2021년 03월 29일,2020
20210317000643,Y,00156859,다올투자증권,정유신,남,1959년 10월,"사외
이사",등기임원,비상근,사외이사,"서울대 경제학, 
Univ. of Pennsylvania 대학원 MBA
현)서강대학교 경영학과 교수",해당사항없음,2019.03.27~,2022년 03월 26일,2020
20210317000643,Y,00156859,다올투자증권,이석환,남,1964년 06월,"사외
이사",등기임원,비상근,사외이사,"고려대 법학, 고려대 대학원 상법학
전)광주고등검찰청",해당사항없음,2019.03.27~,2022년 03월 26일,2020
20210317000643,Y,00156859,다올투자증권,"Ting
Chen",여,1983년 06월,"사외
이사",등기임원,비상근,사외이사,"Tongji University
현)Sole Director, Alpha Frontier Ltd.",해당사항없음,2019.03.27~,2022년 03월 26일,2020
20210317000643,Y,00156859,다올투자증권,이현주,남,1959년 01월,"사외
이사",등기임원,비상근,사외이사,"고려대 경영학
미시간 경영대학원 경영학 MBA
전)하나은행 부행장",해당사항없음,2020.03.26~,2023년 03월 25일,2020
20220316000897,Y,00156859,다올투자증권,이병철,남,1969년 03월,회장,사내이사,상근,대표이사,"고려대 경영학(중퇴)
다올인베스트먼트 사장",최대주주본인,2016.07.13~,2022년 03월 26일,2021
