접수번호,법인구분,고유번호,법인명,주식의종류,이름,관계,기초주식수,기초주식지분율,기말주식수,기말주식지분율,비고,보고서연도
20210317000643,Y,00156859,다올투자증권,보통주,이병철,최대주주,"14,093,905",23.37,"14,093,905",23.37,-,2020
20210317000643,Y,00156859,다올투자증권,보통주,최석종,발행회사임원,"40,000",0.07,"95,000",0.16,-,2020
20210317000643,Y,00156859,다올투자증권,보통주,김형남,발행회사임원,0,0.00,"70,000",0.12,-,2020
20210317000643,Y,00156859,다올투자증권,보통주,이창근,계열사임원,"28,000",0.05,"38,000",0.06,-,2020
20210317000643,Y,00156859,다올투자증권,보통주,신진호,계열사임원,"25,000",0.04,"25,000",0.04,-,2020
20210317000643,Y,00156859,다올투자증권,보통주,김태우,계열사임원,0,0.00,"10,000",0.02,-,2020
20210317000643,Y,00156859,다올투자증권,보통주,안태우,계열사임원,0,0.00,"30,000",0.05,-,2020
20210317000643,Y,00156859,다올투자증권,보통주,김정수,계열사임원,0,0.00,"10,000",0.02,-,2020
20210317000643,Y,00156859,다올투자증권,보통주,정기승,계열사임원,0,0.00,"10,000",0.02,-,2020
20210317000643,Y,00156859,다올투자증권,보통주,계,,"14,186,905",23.52,"14,381,905",23.85,-,2020
20210317000643,Y,00156859,다올투자증권,우선주,계,,-,-,-,-,-,2020
20220316000897,Y,00156859,다올투자증권,보통주,이병철,최대주주,"14,093,905",23.37,"15,093,905",25.03,-,2021
20220316000897,Y,00156859,다올투자증권,보통주,양병삼,계열사임원,0,0.00,"15,000",0.02,계열사임원 선임,2021
20220316000897,Y,00156859,다올투자증권,보통주,정기승,계열사임원,"10,000",0.02,0,0.00,계열사임원 제외,2021
20220316000897,Y,00156859,다올투자증권,보통주,최석종,발행회사임원,"95,000",0.16,"115,000",0.19,-,2021
20220316000897,Y,00156859,다올투자증권,보통주,이창근,발행회사임원,"38,000",0.06,"38,000",0.06,-,2021
20220316000897,Y,00156859,다올투자증권,보통주,김형남,발행회사임원,"70,000",0.12,"75,159",0.12,-,2021
20220316000897,Y,00156859,다올투자증권,보통주,신진호,계열사임원,"25,000",0.04,"25,000",0.04,-,2021
20220316000897,Y,00156859,다올투자증권,보통주,황준호,계열사임원,0,0.00,"10,000",0.02,계열사임원 선임,2021
20220316000897,Y,00156859,다올투자증권,보통주,김태우,계열사임원,"10,000",0.02,"10,000",0.02,-,2021
20220316000897,Y,00156859,다올투자증권,보통주,안태우,계열사임원,"30,000",0.05,"30,000",0.05,-,2021
20220316000897,Y,00156859,다올투자증권,보통주,김정수,계열사임원,"10,000",0.02,"10,000",0.02,-,2021
20220316000897,Y,00156859,다올투자증권,보통주,계,,"14,381,905",23.85,"15,422,064",25.57,-,2021
20220316000897,Y,00156859,다올투자증권,우선주,계,,-,-,-,-,-,2021
20230316000958,Y,00156859,다올투자증권,보통주,이병철,최대주주,"15,093,905",25.03,"15,117,755",25.07,-,2022
20230316000958,Y,00156859,다올투자증권,보통주,양병삼,계열사임원,"15,000",0.02,"21,470",0.04,-,2022
20230316000958,Y,00156859,다올투자증권,보통주,전수광,계열사임원,0,0.00,"2,265",0.00,-,2022
20230316000958,Y,00156859,다올투자증권,보통주,남윤근,계열사임원,0,0.00,"5,000",0.01,-,2022
20230316000958,Y,00156859,다올투자증권,보통주,최석종,발행회사임원,"115,000",0.19,"160,000",0.27,-,2022
20230316000958,Y,00156859,다올투자증권,보통주,이창근,발행회사임원,"38,000",0.06,"43,266",0.07,-,2022
20230316000958,Y,00156859,다올투자증권,보통주,김형남,발행회사임원,"75,159",0.12,"120,336",0.20,-,2022
20230316000958,Y,00156859,다올투자증권,보통주,신진호,계열사임원,"25,000",0.04,"25,000",0.04,-,2022
20230316000958,Y,00156859,다올투자증권,보통주,황준호,계열사임원,"10,000",0.02,"12,385",0.02,-,2022
20230316000958,Y,00156859,다올투자증권,보통주,김태우,계열사임원,"10,000",0.02,"10,000",0.02,-,2022
20230316000958,Y,00156859,다올투자증권,보통주,안태우,계열사임원,"30,000",0.05,"33,319",0.06,-,2022
20230316000958,Y,00156859,다올투자증권,보통주,김정수,계열사임원,"10,000",0.02,"13,319",0.02,-,2022
20230316000958,Y,00156859,다올투자증권,보통주,계,,"15,422,064",25.57,"15,564,115",25.81,-,2022
20230316000958,Y,00156859,다올투자증권,우선주,계,,-,-,-,-,-,2022
20210324000823,K,00238782,다우데이타,보통주,김익래,본인,"15,566,105",40.64,"13,326,105",34.79,-,2020
20210324000823,K,00238782,다우데이타,보통주,㈜이머니,계열사,"8,530,561",22.27,"10,936,439",28.55,-,2020
20210324000823,K,00238782,다우데이타,보통주,김동준,친인척,"1,300,000",3.39,"1,300,000",3.39,-,2020
